iter	Logloss
0	0.6770840883
1	0.6682341099
2	0.6625704169
3	0.6583297253
4	0.6565328836
5	0.6543521285
6	0.6528309584
7	0.6520616412
8	0.6514890194
9	0.6510803699
10	0.6507467031
11	0.6498070955
12	0.6493747234
13	0.648927927
14	0.6486544609
15	0.648157239
16	0.6476626396
17	0.6473038197
18	0.6472052336
19	0.6470678449
20	0.646886766
21	0.6466305852
22	0.6462023258
23	0.6460478306
24	0.645740509
25	0.6454162598
26	0.6450964212
27	0.644259572
28	0.6442342997
29	0.6436018944
30	0.6434136629
31	0.6430621147
32	0.6425991058
33	0.6420676112
34	0.6417753696
35	0.6414084435
36	0.6411419511
37	0.6410072446
38	0.640635252
39	0.6402485371
40	0.6398639083
41	0.6390867829
42	0.6388570666
43	0.6383078098
44	0.6379601955
45	0.637270391
46	0.6371921301
47	0.6369301081
48	0.6364975572
49	0.636315763
50	0.6360293627
51	0.6358482838
52	0.6354707479
53	0.6353313923
54	0.6351907253
55	0.6347424984
56	0.6344487071
57	0.6340733171
58	0.6339025497
59	0.6336705685
60	0.6333909035
61	0.6332086325
62	0.6331754923
63	0.6329888105
64	0.6325850487
65	0.6320815086
66	0.6315348148
67	0.6306292415
68	0.6302859783
69	0.6298412681
70	0.6295495629
71	0.6292062402
72	0.6290560365
73	0.6287388802
74	0.62830621
75	0.6279530525
76	0.6277374029
77	0.6275260448
78	0.6273479462
79	0.6268888712
80	0.6264508367
81	0.6259699464
82	0.625813365
83	0.6255966425
84	0.6253224611
85	0.625053823
86	0.624600172
87	0.6244639158
88	0.6242156029
89	0.6240175366
90	0.623708725
91	0.623577714
92	0.6233494282
93	0.6229817271
94	0.6228763461
95	0.6228175163
96	0.622579217
97	0.6224428415
98	0.6222356558
99	0.621889174
100	0.6217194796
101	0.6213849187
102	0.621091187
103	0.6207914352
104	0.6206140518
105	0.6204029918
106	0.6199778318
107	0.619602561
108	0.6192392111
109	0.618894577
110	0.618845582
111	0.6186469793
112	0.6185919046
113	0.6184462309
114	0.6182872057
115	0.6182364225
116	0.6180684566
117	0.6179895401
118	0.6179229021
119	0.617863059
120	0.6175970435
121	0.6172544956
122	0.6167134643
123	0.6164118648
124	0.616037488
125	0.6159133315
126	0.6153334975
127	0.6152123213
128	0.6149811149
129	0.614782393
130	0.6144453883
131	0.6142488122
132	0.6139316559
133	0.6132433414
134	0.6132023335
135	0.6129938364
136	0.6128062606
137	0.6126735806
138	0.6126422882
139	0.6123641729
140	0.6123164892
141	0.6121970415
142	0.6119849682
143	0.6117588282
144	0.6115729809
145	0.6110498905
146	0.6109066606
147	0.610753119
148	0.6105937362
149	0.6101549864
150	0.6098005772
151	0.609713912
152	0.6096068621
153	0.6095548272
154	0.6095203161
155	0.609490335
156	0.6094589233
157	0.6092059016
158	0.6088490486
159	0.6086033583
160	0.6085368991
161	0.6082591414
162	0.608093679
163	0.6076849103
164	0.6075561047
165	0.6074015498
166	0.607100606
167	0.6069660187
168	0.6068253517
169	0.6066560745
170	0.6063261032
171	0.6060847044
172	0.6059465408
173	0.6057880521
174	0.6055559516
175	0.6055554152
176	0.6054003835
177	0.6052882671
178	0.6052466035
179	0.6047950983
180	0.6045782566
181	0.604521513
182	0.6042987108
183	0.6041755676
184	0.6039629579
185	0.6036933661
186	0.6034830809
187	0.6031218767
188	0.6030002832
189	0.6028815508
190	0.6026542187
191	0.6025303602
192	0.6024516821
193	0.6023323536
194	0.6020903587
195	0.6016592979
196	0.6014738679
197	0.6013246179
198	0.6006550789
199	0.6002067327
